#mgi_symbol_MOUSE	hgnc_symbol_HUMAN
0610010K14Rik	C17orf49
1110004F10Rik	C11orf58
1110032A03Rik	C11orf1
1110038F14Rik	C8orf33
1110059G10Rik	KIAA1143
1110065P20Rik	C1orf122
1600012H06Rik	C6orf120
1700066M21Rik	C2orf69
1700093K21Rik	C2orf74
1700123O20Rik	C14orf119
1810010H24Rik	C17orf58
1810037I17Rik	C4orf3
1810055G02Rik	C11orf24
2210016F16Rik	C9orf64
2310039H08Rik	C6orf226
2310057M21Rik	C10orf88
2310061I04Rik	C6orf136
2410004B18Rik	C1orf52
2510039O18Rik	KIAA2013
2700062C07Rik	C18orf21
3110082I17Rik	C7orf50
4833439L19Rik	KIAA1191
4930430F08Rik	C12orf29
4930453N24Rik	C3orf38
4931428L18Rik	ALYREF
4933434E20Rik	C1orf43
8030462N17Rik	C18orf25
9130401M01Rik	C8orf76
9130409I23Rik	DEGS1
9530068E07Rik	C5orf15
9930104L06Rik	C1orf109
A430005L14Rik	C1orf174
Aaas	AAAS
Aagab	AAGAB
Aamp	AAMP
Aar2	AAR2
Aars2	AARS2
Aarsd1	AARSD1
Aasdhppt	AASDHPPT
Aatf	AATF
Abcb10	ABCB10
Abcb7	ABCB7
Abcd3	ABCD3
Abce1	ABCE1
Abcf1	ABCF1
Abcf2	ABCF2
Abcf3	ABCF3
Abhd10	ABHD10
Abhd12	ABHD12
Abhd13	ABHD13
Abhd14a	ABHD14A
Abhd16a	ABHD16A
Abhd4	ABHD4
Abhd8	ABHD8
Abi1	ABI1
Abt1	ABT1
Acad9	ACAD9
Acadvl	ACADVL
Acap3	ACAP3
Acbd3	ACBD3
Acbd5	ACBD5
Acbd6	ACBD6
Acin1	ACIN1
Acly	ACLY
Acot10	ACOT9
Acot13	ACOT13
Acot8	ACOT8
Acot9	ACOT9
Acox1	ACOX1
Acox3	ACOX3
Acp1	ACP1
Acsf3	ACSF3
Acsl3	ACSL3
Acss2	ACSS2
Actr10	ACTR10
Actr1a	ACTR1A
Actr1b	ACTR1B
Actr5	ACTR5
Actr8	ACTR8
Acvr1	ACVR1
Acvr1b	ACVR1B
Adck2	ADCK2
Adh5	ADH5
Adi1	ADI1
